iter	Passed	Remaining
0	2	2374
1	4	2164
2	6	2234
3	9	2266
4	11	2341
5	14	2394
6	16	2409
7	19	2434
8	21	2385
9	24	2379
10	29	2639
11	32	2641
12	34	2594
13	36	2557
14	39	2575
15	44	2714
16	46	2702
17	49	2679
18	51	2660
19	53	2631
20	57	2676
21	60	2680
22	63	2697
23	65	2678
24	68	2662
25	71	2662
26	73	2665
27	76	2639
28	79	2652
29	81	2644
30	84	2627
31	87	2635
32	89	2635
33	92	2620
34	94	2610
35	97	2606
36	99	2594
37	102	2586
38	104	2573
39	107	2570
40	109	2559
41	111	2546
42	118	2633
43	121	2645
44	124	2646
45	127	2638
46	129	2629
47	133	2652
48	136	2644
49	138	2639
50	141	2632
51	144	2629
52	150	2687
53	152	2677
54	155	2673
55	158	2671
56	161	2670
57	164	2667
58	167	2664
59	169	2658
60	172	2651
61	174	2646
62	178	2647
63	181	2648
64	183	2637
65	185	2629
66	188	2619
67	191	2619
68	194	2618
69	197	2618
70	199	2611
71	202	2609
72	206	2616
73	209	2625
74	212	2624
75	215	2618
76	217	2607
77	220	2606
78	224	2618
79	227	2613
80	229	2606
81	232	2597
82	233	2580
83	236	2579
84	239	2576
85	242	2572
86	244	2569
87	247	2563
88	249	2558
89	253	2562
90	255	2555
91	258	2548
92	260	2541
93	262	2533
94	265	2530
95	268	2525
96	270	2518
97	272	2507
98	274	2499
99	276	2492
100	279	2490
101	282	2491
102	285	2484
103	287	2477
104	290	2471
105	292	2465
106	295	2464
107	298	2462
108	300	2455
109	302	2448
110	304	2440
111	307	2436
112	311	2443
113	314	2442
114	316	2437
115	319	2432
116	320	2421
117	323	2417
118	326	2415
119	329	2414
120	331	2411
121	334	2404
122	336	2400
123	339	2398
124	343	2403
125	346	2402
126	348	2395
127	350	2389
128	353	2384
129	355	2380
130	358	2378
131	361	2374
132	363	2368
133	365	2363
134	368	2358
135	370	2355
136	373	2352
137	376	2349
138	378	2346
139	381	2340
140	383	2337
141	385	2331
142	389	2331
143	391	2328
144	394	2324
145	396	2319
146	398	2313
147	401	2313
148	404	2310
149	407	2309
150	410	2306
151	412	2300
152	415	2297
153	418	2296
154	420	2293
155	423	2289
156	425	2286
157	427	2280
158	431	2281
159	434	2280
160	436	2274
161	439	2274
162	442	2271
163	444	2267
164	448	2267
165	450	2264
166	452	2258
167	455	2253
168	457	2249
169	460	2246
170	463	2245
171	465	2240
172	467	2234
173	469	2228
174	471	2223
175	473	2218
176	476	2217
177	479	2215
178	482	2211
179	484	2206
180	486	2201
181	488	2196
182	491	2193
183	494	2193
184	496	2188
185	499	2185
186	502	2183
187	505	2181
188	507	2178
189	510	2175
190	512	2171
191	515	2167
192	517	2163
193	520	2160
194	522	2156
195	524	2151
196	526	2145
197	528	2140
198	530	2136
199	533	2132
200	535	2129
201	537	2124
202	539	2119
203	542	2115
204	544	2111
205	546	2107
206	549	2104
